ac_type_id,ac_type_cleaned,ac_category
0,A-7D Corsair,Military Fighter Aircraft
1,AAC-1 Toucan,Civilian Passenger Aircraft
2,AEGK,General Aviation and Private Aircraft
3,AT L98 Carvair,Cargo and Transport Aircraft
4,ATR 42,Civilian Passenger Aircraft
5,ATR 42-300,Civilian Passenger Aircraft
6,ATR 42-312,Civilian Passenger Aircraft
7,ATR 42-320,Civilian Passenger Aircraft
8,ATR 42-500,Civilian Passenger Aircraft
9,ATR 42-512,Civilian Passenger Aircraft
10,ATR 72-201,Civilian Passenger Aircraft
11,ATR 72-202,Civilian Passenger Aircraft
12,ATR 72-212,Civilian Passenger Aircraft
13,ATR 72-212A,Civilian Passenger Aircraft
14,ATR 72-50,Civilian Passenger Aircraft
15,ATR 72-500,Civilian Passenger Aircraft
16,ATR 72-600,Civilian Passenger Aircraft
17,Aero Commander  520,General Aviation and Private Aircraft
18,Aero Commander 500-B,General Aviation and Private Aircraft
19,Aero Commander 500A,General Aviation and Private Aircraft
20,Aero Commander 680,General Aviation and Private Aircraft
21,Aero Commander 680E,General Aviation and Private Aircraft
22,Aero Commander 680F,General Aviation and Private Aircraft
23,Aero Commander AC 520,General Aviation and Private Aircraft
24,Aerocomp Comp Air 8,General Aviation and Private Aircraft
25,Aeroflot,Civilian Passenger Aircraft
26,Aeromarine Model 85 (flying boat),Vintage Aircraft
27,Aerospatiale 330G Puma,Helicopters
28,Aerospatiale 330J Puma,Helicopters
29,Aerospatiale 350B1,Helicopters
30,Aerospatiale AS 332L1 Super Puma,Helicopters
31,Aerospatiale AS 332L2,Helicopters
32,Aerospatiale AS 350,Helicopters
33,Aerospatiale AS 350B2,Helicopters
34,Aerospatiale AS 350B3,Helicopters
35,Aerospatiale AS 350BA,Helicopters
36,Aerospatiale AS 350D,Helicopters
37,Aerospatiale AS-350B,Helicopters
38,Aerospatiale AS350 Eurocopter helicoper,Helicopters
39,Aerospatiale AS355-F1,Helicopters
40,Aerospatiale SA 330 Puma,Helicopters
41,Aerospatiale SA 330J,Helicopters
42,Aerospatiale SA 365N-1 Dauphin II,Helicopters
43,Agusta A109A MK II,Helicopters
44,Airbus A300,Civilian Passenger Aircraft
45,Airbus A300-600R,Civilian Passenger Aircraft
46,Airbus A300-605R,Civilian Passenger Aircraft
47,Airbus A300-622R,Civilian Passenger Aircraft
48,Airbus A300B2-101,Civilian Passenger Aircraft
49,Airbus A300B2-1C,Civilian Passenger Aircraft
50,Airbus A300B2-203,Civilian Passenger Aircraft
51,Airbus A300B4-200,Civilian Passenger Aircraft
52,Airbus A300B4-203,Civilian Passenger Aircraft
53,Airbus A300B4-203F,Civilian Passenger Aircraft
54,Airbus A300B4-622R,Civilian Passenger Aircraft
55,Airbus A300F-622R,Civilian Passenger Aircraft
56,Airbus A310-204,Civilian Passenger Aircraft
57,Airbus A310-304,Civilian Passenger Aircraft
58,Airbus A310-324,Civilian Passenger Aircraft
59,Airbus A310-324ET,Civilian Passenger Aircraft
60,Airbus A320-111,Civilian Passenger Aircraft
61,Airbus A320-211,Civilian Passenger Aircraft
62,Airbus A320-212,Civilian Passenger Aircraft
63,Airbus A320-214,Civilian Passenger Aircraft
64,Airbus A320-216,Civilian Passenger Aircraft
65,Airbus A320-231,Civilian Passenger Aircraft
66,Airbus A320-232,Civilian Passenger Aircraft
67,Airbus A320-233,Civilian Passenger Aircraft
68,Airbus A321-111,Civilian Passenger Aircraft
69,Airbus A321-231,Civilian Passenger Aircraft
70,Airbus A330-202,Civilian Passenger Aircraft
71,Airbus A330-203,Civilian Passenger Aircraft
72,Airbus A330-243,Civilian Passenger Aircraft
73,Airbus A330-301,Civilian Passenger Aircraft
74,Airbus A330-321,Civilian Passenger Aircraft
75,Airbus A340,Civilian Passenger Aircraft
76,Airship,Airships
77,Airspeed AS-65 Consul,Vintage Aircraft
78,Airspeed Ambassador AS-57,Vintage Aircraft
79,Airspeed Oxford,Vintage Aircraft
80,Antonov 10A,Cargo and Transport Aircraft
81,Antonov 12,Cargo and Transport Aircraft
82,Antonov 12B,Cargo and Transport Aircraft
83,Antonov 12BK,Cargo and Transport Aircraft
84,Antonov 12BP,Cargo and Transport Aircraft
85,Antonov 12MGA,Cargo and Transport Aircraft
86,Antonov 12V,Cargo and Transport Aircraft
87,Antonov 24,Cargo and Transport Aircraft
88,Antonov 24B,Cargo and Transport Aircraft
89,Antonov 26,Cargo and Transport Aircraft
90,Antonov 26B,Cargo and Transport Aircraft
91,Antonov 26B-100,Cargo and Transport Aircraft
92,Antonov 28,Cargo and Transport Aircraft
93,Antonov 2R,Cargo and Transport Aircraft
94,Antonov 2TP,Cargo and Transport Aircraft
95,Antonov 32,Cargo and Transport Aircraft
96,Antonov 32B,Cargo and Transport Aircraft
97,Antonov 74T-200,Cargo and Transport Aircraft
98,Antonov 74TK-200,Cargo and Transport Aircraft
99,Antonov 74TK-300,Cargo and Transport Aircraft
100,Antonov AN-10,Cargo and Transport Aircraft
101,Antonov AN-10A,Cargo and Transport Aircraft
102,Antonov AN-12,Cargo and Transport Aircraft
103,Antonov AN-124,Cargo and Transport Aircraft
104,Antonov AN-124-100,Cargo and Transport Aircraft
105,Antonov AN-12A,Cargo and Transport Aircraft
106,Antonov AN-12AP,Cargo and Transport Aircraft
107,Antonov AN-12B,Cargo and Transport Aircraft
108,Antonov AN-12BK,Cargo and Transport Aircraft
109,Antonov AN-12BP,Cargo and Transport Aircraft
110,Antonov AN-12PL,Cargo and Transport Aircraft
111,Antonov AN-12TB,Cargo and Transport Aircraft
112,Antonov AN-12V,Cargo and Transport Aircraft
